Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
19651,LU0188438112,01/04/2023,01/04/2024,491,125,YES
19713,LU0106259558,01/04/2020,01/04/2024,1586,125,YES
19653,LU0227179875,01/04/2023,01/04/2024,491,125,YES
9098,LU0232931963,01/04/2023,01/04/2024,491,125,YES
8965,LU0228659784,01/04/2023,01/04/2024,491,125,YES
9124,LU0244354667,01/04/2023,01/04/2024,491,125,YES
36507,LU0463099449,01/04/2023,01/04/2024,491,125,YES
19669,LU0106235533,01/04/2023,01/04/2024,491,125,YES
35422,LU0093472081,01/04/2023,01/04/2024,491,125,YES
19673,LU0106235293,01/04/2023,01/04/2024,491,125,YES
36186,LU0136043394,01/04/2023,01/04/2024,491,125,YES
28084,LU0106234643,01/04/2022,28/12/2022,856,585,YES
19663,LU0181495838,01/04/2023,01/04/2024,491,125,YES
19667,LU0106817157,01/04/2023,12/07/2024,491,23,YES
8927,LU0106252389,01/04/2023,01/04/2024,491,125,YES
8479,LU0106253197,01/04/2023,01/04/2024,491,125,YES
35394,LU0080733339,01/04/2023,01/04/2024,491,125,YES
35443,LU0321371998,01/04/2023,10/04/2024,491,116,YES
45352,LU1046234339,01/04/2023,10/04/2024,491,116,YES
35442,LU0319791538,01/04/2023,10/04/2024,491,116,YES
28085,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
