Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
45615,LU0878005809,01/10/2023,16/05/2024,308,80,YES
45614,LU0878004406,01/10/2023,16/05/2024,308,80,YES
45780,LU0878006104,01/10/2023,16/05/2024,308,80,YES
45722,LU0878005551,01/10/2023,16/05/2024,308,80,YES
94244,LU1038902331,01/04/2023,16/05/2024,491,80,YES
114866,LU1722559652,01/04/2023,16/05/2024,491,80,YES
114859,LU1722559579,01/04/2023,16/05/2024,491,80,YES
94245,LU1038902505,01/04/2023,16/05/2024,491,80,YES
45744,KYG9317M1520,01/04/2022,30/04/2024,856,96,YES
39899,KYG9317M1033,01/04/2022,30/04/2024,856,96,YES
45788,KYG9317M1603,01/04/2022,30/04/2024,856,96,YES
45809,KYG9317M1454,01/04/2022,30/04/2024,856,96,YES
45753,KYG9317M1116,01/04/2022,30/04/2024,856,96,YES
45748,KYG9317M1371,01/04/2022,30/04/2024,856,96,YES
106271,HK0000362241,01/04/2022,30/04/2024,856,96,YES
45828,HK0000264884,01/04/2022,30/04/2024,856,96,YES
106270,HK0000360898,01/04/2022,30/04/2024,856,96,YES
106272,HK0000362258,01/04/2022,30/04/2024,856,96,YES
106269,HK0000360880,01/04/2022,30/04/2024,856,96,YES
36498,KYG9319N1337,01/10/2023,30/04/2024,308,96,YES
45724,KYG9319N2400,01/10/2023,30/04/2024,308,96,YES
45833,KYG9319N2574,01/10/2023,30/04/2024,308,96,YES
45913,KYG9319N3317,01/10/2023,30/04/2024,308,96,YES
36493,KYG9319N1253,01/10/2023,30/04/2024,308,96,YES
45818,KYG9319N2327,01/10/2023,30/04/2024,308,96,YES
36463,KYG9319N1097,01/10/2023,30/04/2024,308,96,YES
36470,KYG9319N1170,01/10/2023,30/04/2024,308,96,YES
93159,HK0000288784,01/04/2023,30/04/2024,491,96,YES
50030,HK0000288792,01/04/2023,30/04/2024,491,96,YES
50028,HK0000288768,01/04/2023,30/04/2024,491,96,YES
50029,HK0000288743,01/04/2023,30/04/2024,491,96,YES
50027,HK0000288750,01/04/2023,30/04/2024,491,96,YES
60752,HK0000288735,01/04/2023,30/04/2024,491,96,YES
