Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
35735,LU0608807433,01/04/2023,29/04/2024,491,97,YES
35739,LU0608807946,01/04/2023,29/04/2024,491,97,YES
94247,LU0441901922,01/05/2023,21/06/2024,461,44,YES
73604,LU0889565320,01/05/2023,21/06/2024,461,44,YES
42969,LU0708994347,01/05/2023,21/06/2024,461,44,YES
17200,N/A,01/05/2023,Date not found in the paragraph,461,N/A,YES
8484,LU0029876355,01/05/2023,21/06/2024,461,44,YES
17201,LU0152984307,01/05/2023,21/06/2024,461,44,YES
36540,N/A,01/05/2023,Date not found in the paragraph,461,N/A,YES
29642,LU0098868341,01/04/2023,01/04/2024,491,125,YES
22260,LU0029874905,01/04/2023,29/04/2024,491,97,YES
8376,LU0128522744,01/04/2023,29/04/2024,491,97,YES
17203,LU0300738514,01/04/2023,29/04/2024,491,97,YES
17202,LU0300743431,01/04/2023,29/04/2024,491,97,YES
17207,LU0093666013,01/04/2023,29/04/2024,491,97,YES
161380,LU1863844749,01/04/2023,29/04/2024,491,97,YES
17212,LU0128525689,01/04/2023,29/04/2024,491,97,YES
36536,LU0128531653,01/04/2023,01/04/2024,491,125,YES
24445,LU0052756011,01/04/2023,29/04/2024,491,97,YES
