Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
17532,LU0367025755,01/04/2023,29/04/2024,492,98,YES
164917,LU1775975201,01/04/2023,29/04/2024,492,98,YES
34462,LU0267984937,01/04/2023,29/04/2024,492,98,YES
10621,LU0505655562,01/04/2024,29/04/2024,126,98,NO
36492,LU0503254152,01/04/2024,29/04/2024,126,98,NO
17534,LU0048816135,01/04/2023,15/07/2024,492,21,YES
36465,LU0130708901,01/04/2023,15/07/2024,492,21,YES
27723,LU0482497798,01/04/2023,15/07/2024,492,21,YES
27724,LU0267983889,01/04/2023,15/07/2024,492,21,YES
27725,LU0607514717,01/01/2024,29/04/2024,217,98,YES
164332,LU1775972018,01/04/2021,08/04/2021,1222,1215,NO
164347,LU1775973099,01/04/2021,08/04/2021,1222,1215,NO
164338,LU1775972448,01/04/2021,08/04/2021,1222,1215,NO
164340,LU1775972794,01/04/2021,08/04/2021,1222,1215,NO
141401,LU1762222559,01/04/2021,29/04/2022,1222,829,YES
141226,LU1489827839,01/04/2021,29/04/2022,1222,829,YES
141445,LU1775958025,01/04/2023,28/04/2023,492,465,NO
20897,LU0607522496,01/04/2023,29/04/2024,492,98,YES
22391,LU0028119526,01/04/2023,29/04/2024,492,98,YES
36471,LU0130709628,01/04/2023,29/04/2024,492,98,YES
45067,LU1075211273,01/04/2023,29/04/2024,492,98,YES
164921,LU1775965749,01/04/2023,15/07/2024,492,21,YES
141442,LU1775964932,01/04/2023,15/07/2024,492,21,YES
164922,LU1775965319,01/04/2023,15/07/2024,492,21,YES
164924,LU1775964189,01/04/2023,15/07/2024,492,21,YES
164920,LU1775965152,01/04/2023,15/07/2024,492,21,YES
141441,LU1775965582,01/04/2023,15/07/2024,492,21,YES
