Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
36548,LU0340553949,01/09/2023,01/04/2024,338,125,YES
35185,LU0280437673,01/09/2023,01/04/2024,338,125,YES
309951,LU0503633330,01/09/2023,01/04/2024,338,125,YES
35190,LU0503631714,01/09/2023,01/04/2024,338,125,YES
18075,LU0217139020,01/09/2023,01/04/2024,338,125,YES
8472,LU0280433847,01/09/2023,01/04/2024,338,125,YES
36496,LU0552610593,01/09/2023,01/04/2024,338,125,YES
18078,LU0338482267,01/04/2021,01/09/2023,1221,338,YES
35243,LU0338483075,01/04/2021,01/09/2023,1221,338,YES
18081,LU0340557775,01/09/2023,01/04/2024,338,125,YES
35247,LU0372507243,01/09/2023,01/04/2024,338,125,YES
18080,LU0340559557,01/09/2023,01/04/2024,338,125,YES
8475,LU0255980327,01/09/2023,01/04/2024,338,125,YES
36425,LU0385405567,01/09/2023,01/04/2024,338,125,YES
8473,LU0104884860,01/09/2023,01/04/2024,338,125,YES
186980,HK0000304821,01/04/2024,01/07/2024,125,34,YES
364321,HK0000304813,01/04/2024,01/07/2024,125,34,YES
362473,HK0000304805,01/04/2024,01/07/2024,125,34,YES
362468,HK0000304797,01/04/2024,01/07/2024,125,34,YES
722113,HK0000943107,01/04/2024,01/07/2024,125,34,YES
722224,HK0000943115,01/04/2024,01/07/2024,125,34,YES
36512,LU0325328614,01/07/2020,24/07/2020,1495,1472,NO
18074,LU0325327723,01/07/2020,24/07/2020,1495,1472,NO
36397,LU0476845283,01/07/2020,24/07/2020,1495,1472,NO
50024,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
731953,LU2538405874,01/06/2023,30/04/2024,430,96,YES
56330,LU1883866441,01/06/2023,30/04/2024,430,96,YES
731731,LU2538405957,01/06/2023,30/04/2024,430,96,YES
731730,LU2462611646,01/06/2023,30/04/2024,430,96,YES
731733,LU2498475776,01/06/2023,30/04/2024,430,96,YES
