Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
53335,IE00BQJZX424,01/04/2022,30/04/2022,856,827,NO
53339,IE00BQJZX531,01/04/2022,30/04/2022,856,827,NO
53338,IE00BQJZX200,01/04/2022,30/04/2022,856,827,NO
36544,IE00B50HYN61,01/04/2022,30/04/2022,856,827,NO
36409,IE00B51GHT90,01/03/2021,01/03/2021,1252,1252,NO
36405,IE00B53FBM50,01/03/2021,01/03/2021,1252,1252,NO
24891,IE00B19Z4B17,01/04/2023,19/04/2024,491,107,YES
45508,IE00BB0QYY64,01/04/2023,19/04/2024,491,107,YES
79011,N/A,01/03/2019,Date not found in the paragraph,1983,N/A,YES
29639,N/A,01/03/2019,Date not found in the paragraph,1983,N/A,YES
79015,N/A,01/03/2019,Date not found in the paragraph,1983,N/A,YES
79010,N/A,01/03/2019,Date not found in the paragraph,1983,N/A,YES
79014,N/A,01/03/2019,Date not found in the paragraph,1983,N/A,YES
79013,N/A,01/03/2019,Date not found in the paragraph,1983,N/A,YES
30873,N/A,01/03/2019,Date not found in the paragraph,1983,N/A,YES
79012,N/A,01/03/2019,Date not found in the paragraph,1983,N/A,YES
45742,IE00B4XJJ152,01/04/2023,19/04/2024,491,107,YES
36485,IE00B2Q1FG14,01/04/2023,19/04/2024,491,107,YES
36401,IE00B52FBY81,01/04/2023,19/04/2024,491,107,YES
36462,IE00B2Q1FL66,01/04/2023,19/04/2024,491,107,YES
17822,IE00B2Q1FD82,01/04/2023,19/04/2024,491,107,YES
363272,IE00BZ9MQX69,01/04/2023,19/04/2024,491,107,YES
36504,IE00B19Z4X37,01/04/2022,30/04/2022,856,827,NO
36506,IE00B19Z5636,01/04/2022,30/04/2022,856,827,NO
