Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
27726,LU0243957239,01/04/2023,29/04/2024,491,97,YES
45718,LU1075211430,01/04/2023,29/04/2024,491,97,YES
27727,LU0243957312,01/04/2023,29/04/2024,491,97,YES
36418,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
45383,LU1097691858,01/04/2023,29/04/2024,491,97,YES
17554,LU0028119013,01/04/2023,29/04/2024,491,97,YES
352138,LU2328995738,01/04/2023,29/04/2024,491,97,YES
92873,LU0607515102,01/04/2023,29/04/2024,491,97,YES
34464,LU0607515367,01/04/2023,29/04/2024,491,97,YES
351971,LU1342487268,01/04/2023,29/04/2024,491,97,YES
157351,LU1775979708,01/04/2023,15/07/2024,491,20,YES
22441,LU0267985660,01/04/2023,29/04/2024,491,97,YES
141402,LU1762222989,01/04/2021,08/04/2021,1221,1214,NO
92905,LU0794789627,01/04/2021,08/04/2021,1221,1214,NO
36526,LU0149505678,01/04/2023,28/04/2023,491,464,NO
17560,LU0149503202,01/04/2023,28/04/2023,491,464,NO
17561,LU0028121183,01/04/2023,29/04/2024,491,97,YES
228356,LU2044938392,01/04/2024,30/04/2024,125,96,NO
229785,N/A,01/04/2024,Date not found in the paragraph,125,N/A,NO
93100,N/A,01/04/2024,Date not found in the paragraph,125,N/A,NO
228924,LU2044938129,01/04/2024,30/04/2024,125,96,NO
279328,LU2090071189,01/04/2024,30/04/2024,125,96,NO
93099,LU1128926307,01/04/2024,30/04/2024,125,96,NO
93075,LU1041599405,01/04/2024,30/04/2024,125,96,NO
8414,N/A,01/04/2023,Date not found in the paragraph,491,N/A,YES
45769,HK0000151800,01/04/2024,30/04/2024,125,96,NO
45805,HK0000151834,01/04/2024,30/04/2024,125,96,NO
45827,HK0000151867,01/04/2024,30/04/2024,125,96,NO
45814,HK0000151859,01/04/2024,30/04/2024,125,96,NO
45851,HK0000188026,01/04/2024,30/04/2024,125,96,NO
45777,N/A,01/04/2024,Date not found in the paragraph,125,N/A,NO
45852,HK0000188034,01/04/2024,30/04/2024,125,96,NO
45784,HK0000151842,01/04/2024,30/04/2024,125,96,NO
45815,HK0000151875,01/04/2024,30/04/2024,125,96,NO
21017,HK0000151891,01/04/2024,30/04/2024,125,96,NO
30961,HK0000151818,01/04/2024,30/04/2024,125,96,NO
17735,HK0000038148,01/04/2024,30/04/2024,125,96,NO
17738,HK0000055605,01/04/2019,01/04/2019,1952,1952,NO
17743,HK0000055647,01/07/2023,30/04/2024,400,96,YES
