Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
45806,LU0858293516,01/11/2023,01/04/2024,277,125,YES
45832,LU0830653209,01/11/2023,01/04/2024,277,125,YES
30502,LU0234573003,01/11/2023,01/04/2024,277,125,YES
36693,LU0616879556,01/11/2023,01/04/2024,277,125,YES
109258,LU1483923071,01/11/2023,01/04/2024,277,125,YES
34015,LU0133266147,01/11/2023,01/04/2024,277,125,YES
45810,N/A,01/11/2023,Date not found in the paragraph,277,N/A,YES
34056,N/A,01/11/2023,Date not found in the paragraph,277,N/A,YES
45831,LU0830672258,01/11/2023,01/04/2024,277,125,YES
34057,N/A,01/11/2023,Date not found in the paragraph,277,N/A,YES
34055,LU0234573771,01/11/2023,01/04/2024,277,125,YES
354626,LU2254254340,01/01/2024,01/04/2024,216,125,YES
354622,LU0786609619,01/01/2024,01/04/2024,216,125,YES
36694,HK0000098233,01/04/2019,10/11/2015,1952,3190,YES
1,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
164908,LU1775947333,01/04/2023,29/04/2024,491,97,YES
34443,LU0367026134,01/04/2023,29/04/2024,491,97,YES
45305,LU0941602780,01/04/2023,29/04/2024,491,97,YES
9228,LU0482498259,01/04/2023,29/04/2024,491,97,YES
45792,LU0955864656,01/04/2023,29/04/2024,491,97,YES
9194,LU0367026217,01/04/2023,29/04/2024,491,97,YES
36509,LU0580551074,01/04/2023,29/04/2024,491,97,YES
9184,LU0334857355,01/04/2023,29/04/2024,491,97,YES
9226,LU0482497442,01/04/2023,29/04/2024,491,97,YES
34444,LU0334857199,01/04/2023,29/04/2024,491,97,YES
127694,LU1762219332,01/04/2023,29/04/2024,491,97,YES
36534,LU0100597474,01/04/2023,29/04/2024,491,97,YES
127544,LU1762219688,01/04/2023,29/04/2024,491,97,YES
17516,N/A,01/04/2023,Date not found in the paragraph,491,N/A,YES
36537,LU0130705550,01/04/2023,29/04/2024,491,97,YES
142442,LU1775951525,01/09/2023,29/04/2024,338,97,YES
164890,LU1775950394,01/09/2023,29/04/2024,338,97,YES
164909,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
164891,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
164911,LU1775948901,01/04/2023,28/04/2023,491,464,NO
