Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
36684,LU0496364232,01/02/2024,21/06/2024,185,44,YES
8379,LU0109391861,01/04/2023,29/04/2024,491,97,YES
42567,LU0708995401,01/04/2023,29/04/2024,491,97,YES
36393,LU0109391945,01/04/2023,29/04/2024,491,97,YES
35722,LU0260863377,01/05/2023,29/04/2024,461,97,YES
8482,LU0229949994,01/05/2023,29/04/2024,461,97,YES
26836,LU0229950067,01/05/2023,29/04/2024,461,97,YES
36453,LU0543330483,01/04/2023,29/04/2024,491,97,YES
10604,N/A,01/04/2023,Date not found in the paragraph,491,N/A,YES
8371,LU0128522157,01/04/2023,29/04/2024,491,97,YES
8372,LU0229940001,01/04/2023,29/04/2024,491,97,YES
36538,N/A,01/04/2023,Date not found in the paragraph,491,N/A,YES
36414,LU0229945737,01/04/2023,01/04/2024,491,125,YES
36513,LU0543330566,01/04/2023,29/04/2024,491,97,YES
8483,LU0229945570,01/04/2023,29/04/2024,491,97,YES
17197,LU0229946628,01/04/2023,29/04/2024,491,97,YES
12523,LU0052750758,01/04/2023,29/04/2024,491,97,YES
17198,LU0078277505,01/04/2023,29/04/2024,491,97,YES
17199,N/A,01/04/2023,Date not found in the paragraph,491,N/A,YES
