Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
56937,IE00B78RNS08,01/04/2022,30/04/2022,856,827,NO
36476,IE00B50JNS00,01/04/2023,07/06/2024,491,58,YES
36486,IE00B1BXHP82,01/04/2023,07/06/2024,491,58,YES
45052,IE00B7SBJ061,01/04/2023,07/06/2024,491,58,YES
36499,IE00B2417S93,01/04/2023,07/06/2024,491,58,YES
36415,IE00B19Z6Z90,01/04/2023,07/06/2024,491,58,YES
36466,IE00B3ML7W26,01/04/2023,07/06/2024,491,58,YES
85431,IE00BZCCX213,01/04/2023,07/06/2024,491,58,YES
36527,IE00B23Z7H10,01/04/2023,07/06/2024,491,58,YES
85432,IE00BZCCX106,01/04/2023,07/06/2024,491,58,YES
12757,IE00B19Z3V48,01/04/2023,07/06/2024,491,58,YES
107682,IE00BYZ0RW30,01/04/2023,07/06/2024,491,58,YES
36457,IE00B23Z9V93,01/12/2022,01/12/2022,612,612,NO
25045,IE00B19Z5K72,01/12/2022,01/12/2022,612,612,NO
17823,IE00B19Z8T70,01/07/2019,01/07/2019,1861,1861,NO
36451,IE00B515QN35,01/04/2023,07/06/2024,491,58,YES
17824,IE00B19Z7Y58,01/04/2023,07/06/2024,491,58,YES
25047,IE00B19Z6R17,01/04/2023,19/04/2024,491,107,YES
307150,IE0034205421,01/04/2023,19/04/2024,491,107,YES
337263,IE00B7T2MC11,01/04/2023,19/04/2024,491,107,YES
