Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
25046,IE00B19Z4V13,01/04/2023,19/04/2024,491,107,YES
17825,IE00B19Z8D11,01/07/2019,01/07/2019,1861,1861,NO
34954,LU0094557526,01/02/2024,18/06/2024,185,47,YES
12266,LU0094560744,01/02/2024,16/02/2024,185,170,NO
25071,LU0094555157,01/02/2024,16/02/2024,185,170,NO
8505,BMG0122Q1087,01/01/2024,18/01/2024,216,199,NO
82749,KYG5800M4518,01/02/2024,01/02/2024,185,185,NO
73842,KYG5800M4690,01/02/2024,01/02/2024,185,185,NO
45835,LU1077376421,01/08/2023,01/01/2024,369,216,YES
17904,LU0274383008,01/08/2023,01/01/2024,369,216,YES
107681,LU1328277881,01/08/2023,29/04/2024,369,97,YES
17907,LU0314109678,01/08/2023,29/04/2024,369,97,YES
45770,LU0661940865,01/03/2018,01/09/2018,2348,2164,YES
45802,LU0661936160,01/04/2020,30/04/2020,1586,1557,NO
205669,LU1813981328,01/08/2023,29/04/2024,369,97,YES
644794,LU2100725352,01/08/2023,29/04/2024,369,97,YES
645782,LU1813982219,01/08/2023,29/04/2024,369,97,YES
644793,LU1813981591,01/08/2023,29/04/2024,369,97,YES
645783,LU1813982482,01/08/2023,29/04/2024,369,97,YES
644853,LU1813982136,01/08/2023,29/04/2024,369,97,YES
644854,LU2100725279,01/08/2023,29/04/2024,369,97,YES
24644,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
24663,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
164925,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
24672,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
