Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
269064,LU1934456168,01/08/2023,01/04/2024,367,123,YES
269062,LU2056362853,01/08/2023,01/04/2024,367,123,YES
268929,LU2056363075,01/08/2023,01/04/2024,367,123,YES
268930,LU2056362937,01/08/2023,01/04/2024,367,123,YES
268925,LU1934455947,01/08/2023,01/04/2024,367,123,YES
268928,LU1934455608,01/08/2023,01/04/2024,367,123,YES
269063,LU2056362770,01/08/2023,01/04/2024,367,123,YES
226944,LU1934455277,01/08/2023,01/04/2024,367,123,YES
268926,LU1934455863,01/08/2023,01/04/2024,367,123,YES
269061,LU2056362424,01/08/2023,01/04/2024,367,123,YES
269065,LU1934456085,01/08/2023,01/04/2024,367,123,YES
226943,LU1934455194,01/08/2023,01/04/2024,367,123,YES
268927,LU1934455780,01/08/2023,01/04/2024,367,123,YES
344603,HK0000329588,01/02/2024,01/02/2024,183,183,NO
344863,N/A,01/02/2024,Date not found in the paragraph,183,N/A,NO
344864,HK0000258266,01/02/2024,01/02/2024,183,183,NO
363220,HK0000258282,01/02/2024,01/02/2024,183,183,NO
363231,HK0000258290,01/02/2024,01/02/2024,183,183,NO
36576,LU0539799634,01/03/2024,01/03/2024,154,154,NO
