Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
45280,LU0738911758,01/04/2023,01/04/2023,492,492,NO
45310,LU0949170699,01/04/2023,01/04/2023,492,492,NO
29618,LU1003077747,01/04/2023,01/04/2023,492,492,NO
9927,LU0170475585,01/08/2023,29/04/2024,370,98,YES
10606,LU0476943708,01/08/2023,29/04/2024,370,98,YES
22264,LU0170477102,01/08/2023,01/04/2024,370,126,YES
15721,LU0029865408,01/04/2023,29/04/2024,492,98,YES
36535,LU0260865828,01/04/2023,29/04/2024,492,98,YES
12192,N/A,01/04/2023,Date not found in the paragraph,492,N/A,YES
17258,LU0078275988,01/04/2019,01/04/2019,1953,1953,NO
36145,LU0128526901,01/04/2023,29/04/2024,492,98,YES
325237,LU1733274390,01/08/2023,29/04/2024,370,98,YES
333376,LU2251237488,01/08/2023,29/04/2024,370,98,YES
333375,LU1733274473,01/08/2023,29/04/2024,370,98,YES
333377,LU2251237306,01/08/2023,29/04/2024,370,98,YES
8511,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
22277,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
36689,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
36688,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
28916,IE00B3CTFQ60,01/12/2017,28/12/2017,2439,2412,NO
33963,IE0003000563,01/12/2017,28/12/2017,2439,2412,NO
33961,IE0002989915,01/12/2017,28/12/2017,2439,2412,NO
42561,IE00B1D7Z989,01/12/2017,28/12/2017,2439,2412,NO
33970,IE0002987190,01/12/2017,28/12/2017,2439,2412,NO
17279,IE0003002502,01/12/2017,28/12/2017,2439,2412,NO
45740,IE00BCQP5742,01/12/2017,28/12/2017,2439,2412,NO
33976,IE0003012535,01/12/2017,28/12/2017,2439,2412,NO
45785,IE00BCQP5635,01/12/2017,28/12/2017,2439,2412,NO
33980,IE0003014572,01/12/2017,28/12/2017,2439,2412,NO
22289,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
22290,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
36692,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
213704,LU1932893552,01/11/2023,01/04/2024,278,126,YES
34018,LU0234570918,01/11/2023,01/04/2024,278,126,YES
45834,N/A,01/02/2019,Date not found in the paragraph,2012,N/A,YES
45752,N/A,01/02/2019,Date not found in the paragraph,2012,N/A,YES
