Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
60815,LU1200839881,01/09/2023,01/04/2024,338,125,YES
60811,LU0784395997,01/09/2023,01/04/2024,338,125,YES
60816,LU1257007309,01/09/2023,01/04/2024,338,125,YES
45503,LU0764618053,01/09/2023,01/04/2024,338,125,YES
16785,LU0359201612,01/04/2023,01/04/2024,491,125,YES
13664,LU0359201885,01/04/2023,01/04/2024,491,125,YES
13745,LU0359201455,01/04/2023,01/04/2024,491,125,YES
13773,LU0494093205,01/04/2023,01/04/2024,491,125,YES
13777,LU0093503497,01/04/2023,01/04/2024,491,125,YES
8896,LU0011850392,01/04/2023,01/04/2024,491,125,YES
8938,LU0171273575,01/04/2023,01/04/2024,491,125,YES
30394,LU0200683885,01/04/2023,01/04/2024,491,125,YES
33477,N/A,01/04/2023,Date not found in the paragraph,491,N/A,YES
28465,N/A,01/04/2023,Date not found in the paragraph,491,N/A,YES
93301,LU0200680782,01/04/2023,01/04/2024,491,125,YES
33479,N/A,01/04/2023,Date not found in the paragraph,491,N/A,YES
8328,LU0047713382,01/04/2023,01/04/2024,491,125,YES
13683,LU0359002093,01/04/2023,01/04/2024,491,125,YES
36653,N/A,01/04/2023,Date not found in the paragraph,491,N/A,YES
