Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
36695,LU0572940194,01/11/2023,30/04/2024,277,96,YES
28545,LU0572939261,01/11/2023,30/04/2024,277,96,YES
17399,LU0264606111,01/11/2023,30/04/2024,277,96,YES
8954,LU0209137388,01/11/2023,30/04/2024,277,96,YES
17400,LU0209137206,01/11/2023,30/04/2024,277,96,YES
17403,LU0209158467,01/04/2024,30/04/2024,125,96,NO
23489,LU0572952017,01/04/2024,30/04/2024,125,96,NO
8909,LU0070992663,01/04/2024,30/04/2024,125,96,NO
36696,LU0572952280,01/04/2024,30/04/2024,125,96,NO
17406,LU0209156925,01/11/2023,30/04/2024,277,96,YES
8920,LU0088927925,01/11/2023,30/04/2024,277,96,YES
20651,IE0033637442,01/04/2023,07/06/2024,491,58,YES
117401,IE00BN8TJ790,01/04/2023,07/06/2024,491,58,YES
20874,IE00B556SN66,01/04/2023,07/06/2024,491,58,YES
340817,IE00BK952G57,01/04/2023,07/06/2024,491,58,YES
340821,IE00B7Z25N71,01/04/2023,07/06/2024,491,58,YES
569430,IE00BLSP4015,01/04/2023,07/06/2024,491,58,YES
569425,IE00BNGJH994,01/04/2023,07/06/2024,491,58,YES
569427,IE000IQEE9W5,01/04/2023,07/06/2024,491,58,YES
566727,IE00BN6Q8645,01/04/2023,07/06/2024,491,58,YES
478470,N/A,01/04/2023,Date not found in the paragraph,491,N/A,YES
569423,IE00BNGJHB11,01/04/2023,07/06/2024,491,58,YES
569419,IE000G1ER031,01/04/2023,07/06/2024,491,58,YES
569429,IE000J9WOV28,01/04/2023,07/06/2024,491,58,YES
17818,IE00B19ZBS79,01/01/2013,01/06/2011,4233,4813,YES
45747,IE00BLSP4346,01/04/2023,19/04/2024,491,107,YES
