Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
109269,HK0000352929,01/04/2023,01/04/2024,490,124,YES
93696,HK0000352960,01/04/2023,01/04/2024,490,124,YES
109317,HK0000352911,01/04/2023,01/04/2024,490,124,YES
20992,HK0000098829,01/04/2023,01/04/2024,490,124,YES
36662,KYG2162H1544,01/04/2017,01/04/2015,2681,3412,YES
26847,KYG2162H1395,01/04/2017,01/04/2015,2681,3412,YES
36663,KYG2162H1700,01/04/2017,01/04/2015,2681,3412,YES
36661,KYG2162H1478,01/04/2017,01/04/2015,2681,3412,YES
36666,HK0000098035,01/04/2021,01/04/2021,1220,1220,NO
8338,LU0264451831,01/04/2019,29/04/2019,1951,1923,NO
12141,N/A,01/04/2019,Date not found in the paragraph,1951,N/A,NO
280119,HK0000464336,01/01/2024,30/04/2024,215,95,YES
36668,HK0000102118,01/04/2022,01/04/2022,855,855,NO
260315,LU2088747998,01/04/2023,01/04/2023,490,490,NO
260316,LU2088748293,01/04/2023,01/04/2023,490,490,NO
20994,N/A,01/04/2023,Date not found in the paragraph,490,N/A,NO
52241,LU0795475572,01/04/2023,01/04/2024,490,124,YES
325453,LU0428352776,01/04/2023,01/04/2024,490,124,YES
705442,LU0811022101,01/04/2023,01/04/2024,490,124,YES
52242,LU0304598229,01/04/2023,01/04/2024,490,124,YES
705443,N/A,01/04/2023,Date not found in the paragraph,490,N/A,YES
52243,LU0811022366,01/04/2023,01/04/2024,490,124,YES
52245,LU0560541111,01/06/2024,01/06/2024,63,63,NO
45942,LU1118698981,01/06/2024,01/06/2024,63,63,NO
45997,LU0965088593,01/06/2024,01/06/2024,63,63,NO
59450,LU0795475655,01/04/2023,01/04/2024,490,124,YES
