Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
20457,LU0072462186,01/04/2023,01/04/2024,492,126,YES
13024,LU0171281750,01/04/2023,01/04/2024,492,126,YES
45343,LU1023061473,01/04/2023,01/04/2024,492,126,YES
365836,LU1861215389,01/09/2023,01/04/2024,339,126,YES
205726,LU1861214812,01/09/2023,01/04/2024,339,126,YES
725907,LU2637965430,01/09/2023,01/04/2024,339,126,YES
725909,LU2637965786,01/09/2023,01/04/2024,339,126,YES
27276,LU0072462426,01/09/2023,01/04/2024,339,126,YES
16812,LU0212925753,01/09/2023,01/04/2024,339,126,YES
725920,LU2637965869,01/09/2023,01/04/2024,339,126,YES
27477,N/A,01/09/2023,Date not found in the paragraph,339,N/A,YES
734141,LU2637965604,01/09/2023,01/04/2024,339,126,YES
725923,LU2637965356,01/09/2023,01/04/2024,339,126,YES
36651,LU0468326631,01/09/2023,01/04/2024,339,126,YES
45738,LU0816460074,01/09/2023,01/04/2024,339,126,YES
13758,LU0297942194,01/09/2023,01/04/2024,339,126,YES
45771,LU0816460231,01/09/2023,01/04/2024,339,126,YES
45767,LU0788109550,01/09/2023,01/04/2024,339,126,YES
13697,LU0297942434,01/09/2023,01/04/2024,339,126,YES
45762,LU0803752475,01/09/2023,01/04/2024,339,126,YES
45821,LU0816460157,01/09/2023,01/04/2024,339,126,YES
45733,LU0871639976,01/09/2023,01/04/2024,339,126,YES
45505,LU0788109634,01/09/2023,01/04/2024,339,126,YES
33494,LU0238689623,01/04/2023,01/04/2022,492,857,YES
20459,LU0238689110,01/04/2023,01/04/2024,492,126,YES
52568,LU1116320497,01/04/2024,01/04/2024,126,126,NO
13760,LU0265550359,01/04/2024,01/04/2024,126,126,NO
52569,LU1116320737,01/04/2024,01/04/2024,126,126,NO
52572,LU1116320141,01/04/2024,01/04/2024,126,126,NO
36652,LU0265550946,01/04/2024,01/04/2024,126,126,NO
52571,LU1116319994,01/04/2024,01/04/2024,126,126,NO
52570,LU1116319648,01/04/2024,01/04/2024,126,126,NO
52573,LU1116320901,01/04/2024,01/04/2024,126,126,NO
13762,LU0545039389,01/04/2023,01/04/2023,492,492,NO
9110,N/A,01/02/2019,Date not found in the paragraph,2012,N/A,YES
33996,N/A,01/02/2019,Date not found in the paragraph,2012,N/A,YES
164923,LU1775964346,01/04/2023,15/07/2024,492,21,YES
164919,LU1775963611,01/01/2024,29/04/2024,217,98,YES
164918,LU1775963454,01/01/2024,29/04/2024,217,98,YES
25790,LU0267984853,01/04/2023,29/04/2024,492,98,YES
17553,LU0334858593,01/04/2023,29/04/2024,492,98,YES
39969,LU1075211869,01/04/2023,29/04/2024,492,98,YES
613303,LU2382293830,01/04/2023,29/04/2024,492,98,YES
613305,LU2382293756,01/04/2023,29/04/2024,492,98,YES
36452,LU0130710550,01/04/2023,29/04/2024,492,98,YES
8899,LU0028118809,01/04/2023,29/04/2024,492,98,YES
22392,LU0267985231,01/04/2023,29/04/2024,492,98,YES
45673,LU1097692237,01/04/2023,29/04/2024,492,98,YES
