Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
59451,LU0756523055,01/04/2023,01/04/2024,490,124,YES
59452,LU0817827503,01/04/2023,01/04/2024,490,124,YES
325490,LU0801099465,01/04/2023,01/04/2024,490,124,YES
9945,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
43228,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
43431,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
43345,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
36472,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
43229,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
9946,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
43432,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
43346,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
25064,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
43347,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
43433,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
36433,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
43230,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
9947,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
36475,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
43231,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
43278,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
36515,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
36528,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
43348,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
9948,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
36539,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
36510,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
12059,LU0048573645,01/08/2023,01/04/2024,368,124,YES
8347,LU0048573561,01/08/2023,01/04/2024,368,124,YES
8506,LU0077335932,01/08/2023,01/04/2024,368,124,YES
9143,LU0261946445,01/08/2023,01/04/2024,368,124,YES
9146,LU0261947096,01/08/2023,01/04/2024,368,124,YES
