Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
17742,LU0051755006,01/10/2023,30/04/2024,308,96,YES
8427,LU0051759099,01/10/2023,30/04/2024,308,96,YES
15718,N/A,01/04/2018,Date not found in the paragraph,2317,N/A,YES
21015,LU0471471150,01/06/2021,30/04/2024,1160,96,YES
42932,LU0727846858,01/06/2021,30/04/2024,1160,96,YES
45633,LU0913883756,01/10/2023,30/04/2024,308,96,YES
68532,LU0862451670,01/10/2023,30/04/2024,308,96,YES
68531,LU1135363577,01/10/2023,30/04/2024,308,96,YES
45601,LU0862451837,01/10/2023,30/04/2024,308,96,YES
17707,LU0083573666,01/04/2023,28/04/2023,491,464,NO
20635,LU0089640097,01/10/2023,30/04/2024,308,96,YES
17709,LU0117904457,01/10/2023,30/04/2024,308,96,YES
45318,LU0987225991,01/10/2023,30/04/2024,308,96,YES
45317,N/A,01/10/2023,Date not found in the paragraph,308,N/A,YES
45734,LU0987226023,01/10/2023,30/04/2024,308,96,YES
34523,LU0119062650,01/10/2023,30/04/2024,308,96,YES
27751,LU0104030142,01/10/2023,30/04/2024,308,96,YES
17714,LU0117904960,01/10/2023,30/04/2024,308,96,YES
8432,LU0053687074,01/10/2023,30/04/2024,308,96,YES
17724,LU0129952296,01/12/2015,01/08/2013,3169,4021,YES
17725,LU0119067295,01/04/2021,01/04/2021,1221,1221,NO
27755,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
8438,LU0208853514,01/01/2024,30/04/2024,216,96,YES
8440,LU0266512127,01/01/2024,30/04/2024,216,96,YES
34602,LU0089639750,01/10/2023,30/04/2024,308,96,YES
8417,LU0117841782,01/10/2023,30/04/2024,308,96,YES
17746,N/A,01/08/2018,Date not found in the paragraph,2195,N/A,YES
36500,LU0538203521,01/08/2018,01/04/2018,2195,2317,YES
17748,LU0129465034,01/04/2024,30/04/2024,125,96,NO
22579,N/A,01/10/2023,Date not found in the paragraph,308,N/A,YES
8422,LU0117842756,01/04/2018,01/04/2018,2317,2317,NO
25144,LU0117843481,01/10/2023,30/04/2024,308,96,YES
8447,LU0082616367,01/10/2023,30/04/2024,308,96,YES
164299,LU1894109211,01/10/2023,30/04/2024,308,96,YES
48612,LU0945454980,01/01/2024,30/04/2024,216,96,YES
48748,HK0000244340,01/10/2023,30/04/2024,308,96,YES
48750,HK0000244365,01/10/2023,30/04/2024,308,96,YES
48753,HK0000244399,01/10/2023,30/04/2024,308,96,YES
48751,HK0000244373,01/10/2023,30/04/2024,308,96,YES
48749,HK0000244357,01/10/2023,30/04/2024,308,96,YES
48752,HK0000244381,01/10/2023,30/04/2024,308,96,YES
17720,HK0000055654,01/10/2023,30/04/2024,308,96,YES
48754,HK0000244407,01/10/2023,30/04/2024,308,96,YES
