Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
275958,HK0000532082,01/02/2024,01/02/2024,183,183,NO
275963,HK0000535309,01/02/2024,01/02/2024,183,183,NO
275960,HK0000535291,01/02/2024,01/02/2024,183,183,NO
275959,HK0000535317,01/02/2024,01/02/2024,183,183,NO
275961,HK0000535341,01/02/2024,01/02/2024,183,183,NO
275964,HK0000535325,01/02/2024,01/02/2024,183,183,NO
228742,HK0000532074,01/02/2024,01/02/2024,183,183,NO
12077,LU0231483743,01/10/2023,01/04/2024,306,123,YES
9053,LU0231455378,01/10/2023,01/04/2024,306,123,YES
9238,LU0498180339,01/10/2023,01/04/2024,306,123,YES
8898,LU0011963245,01/10/2023,01/04/2024,306,123,YES
93532,LU0566486402,01/10/2023,01/04/2024,306,123,YES
8313,LU0231459107,01/10/2023,01/04/2024,306,123,YES
360533,LU2037396640,01/10/2023,01/04/2024,306,123,YES
207267,LU1146622755,01/10/2023,01/04/2024,306,123,YES
28466,LU0566480116,01/10/2023,01/04/2024,306,123,YES
320593,LU0566480033,01/10/2023,01/04/2024,306,123,YES
42977,LU0523223757,01/09/2022,01/09/2022,701,701,NO
370671,LU0887340254,01/10/2023,01/04/2024,306,123,YES
16361,LU0094541447,01/10/2023,01/04/2024,306,123,YES
328025,LU1725895616,01/10/2023,01/04/2024,306,123,YES
228973,LU0963865083,01/10/2023,01/04/2024,306,123,YES
329198,LU2237443382,01/10/2023,01/04/2024,306,123,YES
317472,LU2237443622,01/10/2023,01/04/2024,306,123,YES
329200,LU2237443895,01/10/2023,01/04/2024,306,123,YES
329199,LU2237443465,01/10/2023,01/04/2024,306,123,YES
16365,LU0011963674,01/04/2024,01/04/2024,123,123,NO
44291,LU0912262788,01/04/2024,01/04/2024,123,123,NO
214444,LU0887341062,01/04/2024,01/04/2024,123,123,NO
21818,N/A,01/10/2023,Date not found in the paragraph,306,N/A,YES
8934,LU0132414144,01/10/2023,01/04/2024,306,123,YES
16360,LU0119176310,01/10/2023,01/04/2024,306,123,YES
93555,LU0893373133,01/10/2023,01/04/2024,306,123,YES
33116,LU0323164250,01/10/2023,01/04/2024,306,123,YES
36522,N/A,Date not found in the paragraph,Date not found in the paragraph,N/A,N/A,N/A
22701,KYG0081Y3087,01/04/2016,29/04/2016,3045,3017,NO
