Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
210205,HK0000499746,01/07/2023,30/04/2024,400,96,YES
42803,HK0000102936,01/10/2023,30/04/2024,308,96,YES
17737,HK0000055597,01/10/2023,31/07/2024,308,4,YES
45743,HK0000219854,01/10/2023,30/04/2024,308,96,YES
45801,HK0000132297,01/10/2023,30/04/2024,308,96,YES
45859,HK0000203197,01/10/2023,30/04/2024,308,96,YES
45816,HK0000132305,01/10/2023,30/04/2024,308,96,YES
45746,HK0000132313,01/10/2023,30/04/2024,308,96,YES
45858,HK0000203189,01/10/2023,30/04/2024,308,96,YES
17739,HK0000055613,01/12/2023,30/04/2024,247,96,YES
56935,HK0000302353,01/07/2023,31/07/2024,400,4,YES
17740,N/A,01/07/2023,Date not found in the paragraph,400,N/A,YES
56936,HK0000302346,01/07/2023,31/07/2024,400,4,YES
56934,HK0000302338,01/07/2023,31/07/2024,400,4,YES
17741,N/A,01/04/2023,Date not found in the paragraph,491,N/A,YES
8415,HK0000055639,01/04/2018,01/04/2018,2317,2317,NO
17715,HK0000055829,01/04/2023,30/04/2024,491,96,YES
8426,LU0053666078,01/10/2023,30/04/2024,308,96,YES
45032,LU0969268043,01/01/2024,30/04/2024,216,96,YES
45749,LU0987225645,01/01/2024,30/04/2024,216,96,YES
10631,LU0784639295,01/01/2024,30/04/2024,216,96,YES
34498,LU0210527791,01/01/2024,30/04/2024,216,96,YES
21018,LU0784638990,01/01/2024,30/04/2024,216,96,YES
10630,LU0117844026,01/01/2024,30/04/2024,216,96,YES
45804,LU0969353316,01/01/2024,30/04/2024,216,96,YES
45817,LU0987225561,01/01/2024,30/04/2024,216,96,YES
92947,LU0863149919,01/01/2024,30/04/2024,216,96,YES
45729,LU0987225728,01/01/2024,30/04/2024,216,96,YES
36479,LU0538203018,01/10/2023,30/04/2024,308,96,YES
