Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
45302,LU0937948932,01/01/2024,01/06/2024,215,63,YES
36673,LU0532245395,01/01/2024,01/06/2024,215,63,YES
13231,LU0132282301,01/01/2024,01/06/2024,215,63,YES
17125,LU0168057262,01/01/2024,01/06/2024,215,63,YES
8359,LU0048621717,01/08/2021,31/08/2021,1098,1068,NO
20480,LU0069449576,01/08/2023,01/04/2024,368,124,YES
45790,IE00B29SXJ89,01/11/2023,01/04/2024,276,124,YES
738399,IE00BVFNXS90,01/04/2023,29/04/2024,490,96,YES
738184,IE00BK6VSP79,01/04/2023,29/04/2024,490,96,YES
60191,IE00BVFNXR83,01/04/2023,01/08/2024,490,2,YES
17210,IE0032578035,01/04/2023,29/04/2024,490,96,YES
45990,IE00B000C709,01/04/2023,29/04/2024,490,96,YES
36675,IE0030700888,01/04/2023,01/04/2024,490,124,YES
36674,LU0109394881,01/04/2023,29/04/2024,490,96,YES
12185,LU0109394709,01/04/2023,29/04/2024,490,96,YES
68518,LU0889565916,01/04/2023,29/04/2024,490,96,YES
17204,LU0093669546,01/04/2023,29/04/2024,490,96,YES
17205,LU0109395268,01/04/2023,29/04/2024,490,96,YES
20741,LU0496367417,01/04/2023,29/04/2024,490,96,YES
25903,LU0498741114,01/04/2023,29/04/2024,490,96,YES
36676,LU0098868697,01/04/2023,21/06/2024,490,43,YES
17220,LU0065014192,01/04/2023,21/06/2024,490,43,YES
17221,LU0098860793,01/04/2024,29/04/2024,124,96,NO
364145,LU1929549753,01/04/2024,29/04/2024,124,96,NO
750986,LU2679920707,01/04/2024,29/04/2024,124,96,NO
630113,LU0976567460,01/04/2024,29/04/2024,124,96,NO
36677,LU0128532388,01/04/2024,01/04/2024,124,124,NO
325216,N/A,01/04/2024,Date not found in the paragraph,124,N/A,NO
572336,LU2404266764,01/04/2024,29/04/2024,124,96,NO
726819,LU2657138074,01/04/2024,29/04/2024,124,96,NO
726820,LU2657138157,01/04/2024,29/04/2024,124,96,NO
36678,LU0231204297,01/04/2023,01/04/2024,490,124,YES
