STRATEGYKEY,TICKERNAME,ISIN,CCY,ACTIVE,LOCALE,DOCDATE,EXTERNALURL
22997,Schroder International Selection Fund Global Multi-Asset Income A Accumulation GBP Hedged,LU0903425840,GBP,true,en,2013-10-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000PSSM&documenttype=76&market=0&investmenttype=1&frame=0
52241,Eastspring Investments - Asian Bond Fund - AADM (hedged),LU0795475572,AUD,true,zh_TW,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000OEHC&documenttype=76&market=1447&investmenttype=1&frame=0
52241,Eastspring Investments - Asian Bond Fund - AADM (hedged),LU0795475572,AUD,true,en,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000OEHC&documenttype=76&market=1447&investmenttype=1&frame=0
52242,Eastspring Investments - Asian Bond Fund - ADQ,LU0304598229,USD,true,zh_TW,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000000GDG&documenttype=76&market=1447&investmenttype=1&frame=0
52242,Eastspring Investments - Asian Bond Fund - ADQ,LU0304598229,USD,true,en,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000000GDG&documenttype=76&market=1447&investmenttype=1&frame=0
52243,Eastspring Investments - Asian Bond Fund - ANDM (hedged),LU0811022366,NZD,true,zh_TW,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000ONIY&documenttype=76&market=1447&investmenttype=1&frame=0
52243,Eastspring Investments - Asian Bond Fund - ANDM (hedged),LU0811022366,NZD,true,en,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000ONIY&documenttype=76&market=1447&investmenttype=1&frame=0
52245,Eastspring Investments - Japan Dynamic Fund - A,LU0560541111,USD,true,zh_TW,2024-06-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000M7SZ&documenttype=76&market=1447&investmenttype=1&frame=0
52245,Eastspring Investments - Japan Dynamic Fund - A,LU0560541111,USD,true,en,2024-06-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000M7SZ&documenttype=76&market=1447&investmenttype=1&frame=0
22260,Templeton Emerging Markets Fund A(Ydis)USD,LU0029874905,USD,true,zh_TW,2024-04-29 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F0GBR04N8X&documenttype=76&market=1447&investmenttype=1&frame=0
22260,Templeton Emerging Markets Fund A(Ydis)USD,LU0029874905,USD,true,en,2024-04-29 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0GBR04N8X&documenttype=76&market=1447&investmenttype=1&frame=0
