Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
45340,LU1023059063,01/04/2023,01/04/2024,490,124,YES
27483,LU0172157280,01/04/2023,01/04/2024,490,124,YES
27279,LU0075056555,01/04/2023,01/04/2024,490,124,YES
33517,N/A,01/04/2023,Date not found in the paragraph,490,N/A,YES
13672,LU0056508442,01/04/2023,01/04/2024,490,124,YES
36657,HK0000100120,01/04/2023,01/04/2023,490,490,NO
36665,HK0000099173,01/07/2022,04/07/2022,764,761,NO
200372,LU1295551573,01/12/2023,01/04/2024,246,124,YES
738398,LU2227625451,01/12/2023,01/04/2024,246,124,YES
738396,LU2521041439,01/04/2024,30/04/2024,124,95,NO
738393,LU2521040894,01/04/2024,30/04/2024,124,95,NO
738394,LU2521041272,01/04/2024,30/04/2024,124,95,NO
738391,LU2343843681,01/04/2024,30/04/2024,124,95,NO
738397,LU2343843764,01/04/2024,30/04/2024,124,95,NO
738392,LU2521040977,01/04/2024,30/04/2024,124,95,NO
738395,LU2521041355,01/04/2024,30/04/2024,124,95,NO
738055,LU2521040118,01/12/2023,01/04/2024,246,124,YES
738059,LU2521040548,01/12/2023,01/04/2024,246,124,YES
738054,LU1820809694,01/12/2023,01/04/2024,246,124,YES
738057,LU2521040381,01/12/2023,01/04/2024,246,124,YES
738056,LU2521040035,01/12/2023,01/04/2024,246,124,YES
738058,LU2521040464,01/12/2023,01/04/2024,246,124,YES
230838,HK0000489945,01/01/2024,01/01/2024,215,215,NO
109253,HK0000352945,01/04/2023,01/04/2024,490,124,YES
