Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
9022,LU0231203729,01/04/2023,29/04/2024,490,96,YES
17238,LU0352132103,01/04/2023,29/04/2024,490,96,YES
17225,LU0352132285,01/04/2023,29/04/2024,490,96,YES
17246,LU0109981828,01/04/2023,29/04/2024,490,96,YES
17241,LU0140363002,01/04/2023,29/04/2024,490,96,YES
9993,LU0109981661,01/04/2023,29/04/2024,490,96,YES
36680,LU0211332134,01/05/2023,29/04/2024,460,96,YES
8960,LU0211331839,01/05/2023,29/04/2024,460,96,YES
36679,LU0098868267,01/04/2023,29/04/2024,490,96,YES
8370,LU0070302665,01/04/2023,29/04/2024,490,96,YES
17226,LU0300736062,01/04/2023,29/04/2024,490,96,YES
17227,LU0300741732,01/04/2023,29/04/2024,490,96,YES
47223,LU1350351067,01/04/2023,29/04/2024,490,96,YES
48634,LU1350351141,01/04/2023,29/04/2024,490,96,YES
48633,LU1350351224,01/04/2023,29/04/2024,490,96,YES
47221,LU1350350846,01/04/2023,29/04/2024,490,96,YES
47225,LU1350351653,01/04/2023,28/04/2023,490,463,NO
48635,LU1350351901,01/04/2023,28/04/2023,490,463,NO
48631,LU1350351810,01/04/2023,28/04/2023,490,463,NO
47227,LU1350351737,01/04/2023,28/04/2023,490,463,NO
48630,LU1350350416,01/04/2023,28/04/2023,490,463,NO
48632,LU1350350507,01/04/2023,28/04/2023,490,463,NO
47229,LU1350350259,01/04/2023,28/04/2023,490,463,NO
47231,LU1350350333,01/04/2023,28/04/2023,490,463,NO
12193,LU0098860363,01/04/2020,01/04/2020,1585,1585,NO
36683,LU0098863896,01/04/2020,01/04/2020,1585,1585,NO
36681,LU0109734730,01/04/2023,29/04/2024,490,96,YES
17257,LU0109392836,01/04/2023,29/04/2024,490,96,YES
17235,LU0231790832,01/05/2011,01/06/2011,4843,4812,YES
17236,LU0116920520,01/05/2011,01/06/2011,4843,4812,YES
17259,LU0052767562,01/04/2024,29/04/2024,124,96,NO
36682,LU0098869075,01/04/2024,01/04/2024,124,124,NO
17260,LU0029872446,01/02/2024,21/06/2024,184,43,YES
25776,LU0098868937,01/02/2024,01/06/2024,184,63,YES
36685,LU0496364315,01/02/2024,21/06/2024,184,43,YES
