Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
12158,LU0138981039,01/01/2024,01/04/2024,215,124,YES
13212,LU0048581077,01/08/2023,01/04/2024,368,124,YES
13213,LU0197229882,01/04/2024,01/04/2024,124,124,NO
13214,LU0055114457,01/08/2023,01/04/2024,368,124,YES
17093,LU0048584097,01/01/2024,01/04/2024,215,124,YES
13217,LU0048584766,01/08/2023,01/04/2024,368,124,YES
103414,LU0997587083,01/04/2024,01/04/2024,124,124,NO
755452,LU2788007339,01/04/2024,01/04/2024,124,124,NO
17117,LU0161332480,01/04/2024,01/04/2024,124,124,NO
755453,LU2788007255,01/04/2024,01/04/2024,124,124,NO
8356,LU0048585144,01/08/2023,01/04/2024,368,124,YES
8357,LU0048587603,01/08/2021,31/08/2021,1098,1068,NO
13220,LU0050427557,01/08/2023,01/04/2024,368,124,YES
13221,N/A,01/08/2021,Date not found in the paragraph,1098,N/A,YES
23372,LU0048588080,01/08/2023,01/04/2024,368,124,YES
8358,LU0049112450,01/08/2023,01/04/2024,368,124,YES
13204,LU0080751232,01/01/2024,01/04/2024,215,124,YES
12067,LU0048588163,01/08/2021,31/08/2021,1098,1068,NO
33859,LU0054754816,01/08/2023,01/04/2024,368,124,YES
8346,N/A,01/08/2021,Date not found in the paragraph,1098,N/A,YES
12068,LU0048621477,01/08/2023,01/04/2024,368,124,YES
13226,LU0048622798,01/04/2024,01/04/2024,124,124,NO
366127,LU2231582003,01/04/2024,01/04/2024,124,124,NO
746973,LU2731966094,01/04/2024,01/04/2024,124,124,NO
713158,LU2231581880,01/04/2024,01/04/2024,124,124,NO
17124,LU0168055563,01/04/2024,01/04/2024,124,124,NO
13228,LU0261952922,01/08/2023,01/04/2024,368,124,YES
22242,LU0064963852,01/08/2023,01/04/2024,368,124,YES
