Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
19699,LU0149525270,1/4/2023,1/4/2024,491,125,YES
19704,LU0149534421,1/4/2023,1/4/2024,491,125,YES
19700,LU0607220059,1/4/2023,1/4/2024,491,125,YES
35578,LU0106239873,1/4/2023,1/4/2024,491,125,YES
35573,LU0106242315,1/4/2023,1/4/2024,491,125,YES
19709,LU0195148118,1/4/2019,24/7/2019,1952,1838,YES
19712,LU0106259046,1/4/2023,1/4/2024,491,125,YES
9176,LU0314587907,1/4/2021,7/1/2022,1221,940,YES
9178,LU0316459139,1/4/2021,7/1/2022,1221,940,YES
45819,LU0203346498,1/4/2023,1/4/2024,491,125,YES
19715,LU0203345920,1/4/2023,1/4/2024,491,125,YES
19720,LU0270814014,1/4/2023,1/4/2024,491,125,YES
35622,LU0338530842,1/4/2023,1/4/2024,491,125,YES
15219,LU0106244527,1/4/2023,1/4/2024,491,125,YES
20683,LU0106260564,1/4/2023,1/4/2024,491,125,YES
19722,LU0136043808,1/4/2023,1/4/2024,491,125,YES
35639,LU0106261372,1/4/2023,1/4/2024,491,125,YES
19758,LU0106261612,Invalid date format in TTS DB,10/4/2024,,116,
140722,,Date not found in the paragraph,Date not found in the paragraph,,,
140721,,Date not found in the paragraph,Date not found in the paragraph,,,
382178,HK0000760253,1/3/2024,28/3/2024,156,129,NO
382596,HK0000760295,1/3/2024,28/3/2024,156,129,NO
382167,HK0000760287,1/3/2024,28/3/2024,156,129,NO
382173,HK0000760261,1/3/2024,28/3/2024,156,129,NO
382174,HK0000760279,1/3/2024,28/3/2024,156,129,NO
382171,HK0000213626,1/3/2024,28/3/2024,156,129,NO
21058,HK0000201613,1/3/2024,28/3/2024,156,129,NO
12503,,Date not found in the paragraph,Date not found in the paragraph,,,
49899,,Date not found in the paragraph,Date not found in the paragraph,,,
50025,,Date not found in the paragraph,Date not found in the paragraph,,,
50026,,Date not found in the paragraph,Date not found in the paragraph,,,
45813,LU0973218331,1/4/2024,12/4/2024,125,114,NO
45259,LU0417441200,1/4/2024,12/4/2024,125,114,NO
35904,LU0086177085,1/4/2024,12/4/2024,125,114,NO
45625,LU0997192736,1/4/2024,12/4/2024,125,114,NO
45320,LU0994471687,1/4/2024,12/4/2024,125,114,NO
25012,LU0937166394,1/4/2024,12/4/2024,125,114,NO
45309,LU0945635778,1/4/2024,12/4/2024,125,114,NO
45527,LU0945635851,1/4/2024,12/4/2024,125,114,NO
30316,LU0067412154,1/4/2023,20/4/2024,491,106,YES
45651,LU1227825731,1/4/2023,20/4/2024,491,106,YES
