Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
13199,LU0048575426,01/08/2023,01/04/2024,368,124,YES
45351,LU1046421449,01/08/2023,01/04/2024,368,124,YES
20475,LU0052588471,01/08/2023,01/04/2024,368,124,YES
33831,N/A,01/08/2023,Date not found in the paragraph,368,N/A,YES
13200,LU0088814487,01/08/2023,01/04/2024,368,124,YES
36669,LU0168050333,01/08/2023,01/04/2024,368,124,YES
8345,LU0048579097,01/08/2023,01/04/2024,368,124,YES
36144,LU0064964074,01/08/2023,01/04/2024,368,124,YES
13232,LU0261953490,01/08/2023,01/04/2024,368,124,YES
45071,LU0353647737,01/08/2023,01/04/2024,368,124,YES
45322,LU0997587240,01/08/2023,01/04/2024,368,124,YES
50021,LU1046420805,01/08/2023,01/04/2024,368,124,YES
27640,LU0353647653,01/08/2023,01/04/2024,368,124,YES
45292,LU0857700040,01/08/2023,01/04/2024,368,124,YES
33833,LU0119124781,01/08/2023,01/04/2024,368,124,YES
13202,LU0261959422,01/08/2023,01/04/2024,368,124,YES
45323,LU0997586606,01/08/2023,01/04/2024,368,124,YES
8351,LU0048578792,01/08/2023,01/04/2024,368,124,YES
45136,LU0621411155,01/08/2023,01/04/2024,368,124,YES
17108,LU0168053600,01/08/2023,01/04/2024,368,124,YES
45296,N/A,01/08/2023,Date not found in the paragraph,368,N/A,YES
13203,LU0110060430,01/08/2023,01/04/2024,368,124,YES
