Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
33508,LU0171296865,01/04/2022,01/04/2024,855,124,YES
13728,LU0200684693,01/04/2022,01/04/2024,855,124,YES
13020,N/A,01/04/2022,Date not found in the paragraph,855,N/A,YES
13667,LU0096258446,01/04/2023,01/04/2023,490,490,NO
13780,LU0172418690,01/04/2023,01/04/2023,490,490,NO
33510,N/A,01/04/2023,Date not found in the paragraph,490,N/A,NO
33511,LU0097036916,01/04/2023,01/04/2024,490,124,YES
21066,N/A,01/04/2023,Date not found in the paragraph,490,N/A,YES
33512,LU0171298648,01/04/2023,01/04/2020,490,1585,YES
10575,LU0171293334,01/04/2022,01/04/2020,855,1585,YES
8333,LU0011847091,01/04/2022,01/04/2024,855,124,YES
13784,LU0184696853,01/04/2023,01/04/2024,490,124,YES
13668,LU0184696937,01/04/2023,01/04/2024,490,124,YES
8930,LU0122376428,01/04/2023,01/04/2024,490,124,YES
13785,LU0326422176,01/04/2023,01/04/2024,490,124,YES
27481,LU0171301533,01/04/2023,01/04/2024,490,124,YES
16823,LU0106831901,01/04/2023,01/04/2024,490,124,YES
27482,LU0171304719,01/04/2023,01/04/2024,490,124,YES
27278,LU0055631609,01/04/2023,01/04/2024,490,124,YES
8946,LU0171305526,01/04/2023,01/04/2024,490,124,YES
45024,LU1061106388,01/04/2023,01/04/2024,490,124,YES
144812,LU1822774284,01/04/2023,01/04/2024,490,124,YES
15722,LU0122379950,01/04/2023,01/04/2024,490,124,YES
117416,LU1254117382,01/04/2023,01/04/2024,490,124,YES
13670,N/A,01/04/2023,Date not found in the paragraph,490,N/A,YES
